Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
113,Ivan Johnson,PF,28,ATL,6,0,108,12,26,0.462,0,0,,12,26,0.462,0.462,12,18,0.667,9,11,20,3,4,3,6,23,36,johnsiv01
114,Joe Johnson,SG,31,BRK,7,7,271,43,103,0.417,10,39,0.256,33,64,0.516,0.466,8,9,0.889,4,18,22,19,8,0,12,13,104,johnsjo02
115,Orlando Johnson,SG,23,IND,12,0,28,2,11,0.182,1,3,0.333,1,8,0.125,0.227,5,9,0.556,0,3,3,1,0,0,1,0,10,johnsor01
116,Dahntay Jones,SF,32,ATL,5,0,19,1,4,0.25,0,0,,1,4,0.25,0.25,2,2,1,0,1,1,0,0,0,1,1,4,jonesda02
117,Dwayne Jones,PF,29,GSW,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,jonesdw02
118,James Jones,SF,32,MIA,9,0,33,3,7,0.429,3,4,0.75,0,3,0,0.643,0,0,,0,3,3,0,0,1,2,3,9,jonesja02
119,Perry Jones,SF,21,OKC,1,0,5,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0,jonespe01
120,Terrence Jones,PF,21,HOU,2,0,35,4,10,0.4,0,2,0,4,8,0.5,0.4,0,3,0,5,10,15,1,0,1,1,2,8,joneste01
121,DeAndre Jordan,C,24,LAC,6,6,144,10,22,0.455,0,0,,10,22,0.455,0.455,2,9,0.222,15,23,38,1,1,10,9,18,22,jordade01
122,Cory Joseph,PG,21,SAS,20,0,192,26,56,0.464,2,11,0.182,24,45,0.533,0.482,5,11,0.455,8,23,31,24,6,2,10,15,59,josepco01
123,Jason Kidd*,SG,39,NYK,12,0,247,3,25,0.12,3,17,0.176,0,8,0,0.18,2,2,1,7,35,42,24,12,4,13,12,11,kiddja01
124,Kyle Korver,SF,31,ATL,6,2,177,19,49,0.388,12,34,0.353,7,15,0.467,0.51,11,12,0.917,0,20,20,4,2,4,6,14,61,korveky01
125,Kosta Koufos,C,23,DEN,6,2,100,7,19,0.368,1,1,1,6,18,0.333,0.395,5,6,0.833,9,12,21,3,3,4,2,13,20,koufoko01
126,Carl Landry,PF,29,GSW,12,3,246,52,100,0.52,0,0,,52,100,0.52,0.52,38,52,0.731,22,40,62,17,7,2,19,29,142,landrca01
